Description,log2_diff,p
Nuclear pore complex protein Nup88 OS=Homo sapiens OX=9606 GN=NUP88 PE=1 SV=2,0.275776667,0.047191667
Clathrin interactor 1 OS=Homo sapiens OX=9606 GN=CLINT1 PE=1 SV=1,0.275443333,0.065115576
Sodium-coupled neutral amino acid transporter 2 OS=Homo sapiens OX=9606 GN=SLC38A2 PE=1 SV=2,0.275120333,0.008425768
Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=3 SV=1,0.273697867,0.229553852
Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1,0.273119667,0.250523294
Protein SEC13 homolog OS=Homo sapiens OX=9606 GN=SEC13 PE=1 SV=1,0.272303333,0.106245565
Protein 4.1 OS=Homo sapiens OX=9606 GN=EPB41 PE=1 SV=1,0.271853333,0.024016508
Neuropathy target esterase OS=Homo sapiens OX=9606 GN=PNPLA6 PE=1 SV=1,0.271775667,0.170611698
Mitochondrial 2-oxodicarboxylate carrier OS=Homo sapiens OX=9606 GN=SLC25A21 PE=1 SV=1,0.271645667,0.014952737
Cytochrome c oxidase assembly factor 6 homolog OS=Homo sapiens OX=9606 GN=COA6 PE=1 SV=1,0.271095,0.051020837
Peptidyl-prolyl cis-trans isomerase FKBP9 OS=Homo sapiens OX=9606 GN=FKBP9 PE=1 SV=2,0.27104,0.062805914
Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2,0.271,0.013742199
Protein S100-A10 OS=Homo sapiens OX=9606 GN=S100A10 PE=1 SV=2,0.270988133,0.038353893
4F2 cell-surface antigen heavy chain (Fragment) OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=1,0.270653333,0.123385896
S-phase kinase-associated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=SKP1 PE=1 SV=1,0.2702,0.309569557
E3 ubiquitin-protein ligase TRIM4 OS=Homo sapiens OX=9606 GN=TRIM4 PE=1 SV=2,0.269621333,0.009805095
SUMO-conjugating enzyme UBC9 (Fragment) OS=Homo sapiens OX=9606 GN=UBE2I PE=1 SV=2,0.268934333,0.001430445
60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1,0.26852,0.000637721
Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2,0.268166667,0.003195837
Calcineurin B homologous protein 1 OS=Homo sapiens OX=9606 GN=CHP1 PE=1 SV=3,0.267576667,0.168937263
Long-chain-fatty-acid--CoA ligase 1 OS=Homo sapiens OX=9606 GN=ACSL1 PE=1 SV=1,0.267453333,0.007944237
Heme-binding protein 1 OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1,0.266935,0.020695212
Growth hormone-inducible transmembrane protein OS=Homo sapiens OX=9606 GN=GHITM PE=1 SV=2,0.266836667,0.004035267
EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=EFEMP1 PE=1 SV=2,0.266556667,0.129555601
Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1,0.266056667,0.063640573
Solute carrier family 12 member 4 OS=Homo sapiens OX=9606 GN=SLC12A4 PE=1 SV=2,0.26598,0.028805989
Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1,0.265651067,0.068050248
Transmembrane protein 56 OS=Homo sapiens OX=9606 GN=TMEM56 PE=1 SV=1,0.265493333,0.002079897
Protein unc-45 homolog A OS=Homo sapiens OX=9606 GN=UNC45A PE=1 SV=1,0.26434,0.199402989
"Glutathione reductase, mitochondrial OS=Homo sapiens OX=9606 GN=GSR PE=1 SV=2",0.264066667,0.01330614
Proteasome activator complex subunit 3 OS=Homo sapiens OX=9606 GN=PSME3 PE=1 SV=1,0.2640414,0.342998866
Alpha-galactosidase A OS=Homo sapiens OX=9606 GN=GLA PE=1 SV=1,0.262526667,0.01767592
OCIA domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=OCIAD1 PE=1 SV=1,0.260633333,0.311988524
Peroxisome biogenesis factor 2 (Fragment) OS=Homo sapiens OX=9606 GN=PEX2 PE=1 SV=8,0.259717533,0.003641681
NADPH--cytochrome P450 reductase OS=Homo sapiens OX=9606 GN=POR PE=1 SV=2,0.25933,0.018003403
Serine/threonine-protein kinase Nek9 OS=Homo sapiens OX=9606 GN=NEK9 PE=1 SV=2,0.2584,0.148561927
Mitochondrial amidoxime reducing component 2 OS=Homo sapiens OX=9606 GN=MARC2 PE=1 SV=1,0.256933333,0.008905102
cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR1A PE=1 SV=1,0.25665,0.027296674
4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=1,0.25609,0.051872225
Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=1,0.256014,0.004621349
Protein Mpv17 OS=Homo sapiens OX=9606 GN=MPV17 PE=1 SV=1,0.255451567,0.081831292
"Cell division cycle 27, isoform CRA_c OS=Homo sapiens OX=9606 GN=CDC27 PE=1 SV=1",0.2550373,0.073919203
"ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB7 PE=1 SV=2",0.25502,0.007775427
"Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1",0.254753333,0.000237458
DnaJ homolog subfamily C member 8 OS=Homo sapiens OX=9606 GN=DNAJC8 PE=1 SV=2,0.254443333,0.150755169
"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFB11 PE=1 SV=1",0.254190667,0.008470037
COP9 signalosome complex subunit 2 OS=Homo sapiens OX=9606 GN=COPS2 PE=1 SV=1,0.25391,0.1149198
N-terminal kinase-like protein OS=Homo sapiens OX=9606 GN=SCYL1 PE=1 SV=1,0.253787,0.137388804
Translocating chain-associated membrane protein 2 OS=Homo sapiens OX=9606 GN=TRAM2 PE=1 SV=1,0.253456667,0.034659893
Tetraspanin (Fragment) OS=Homo sapiens OX=9606 GN=CD151 PE=1 SV=1,0.253434667,0.0730548
Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,0.252313333,0.129259819
Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3,0.250756433,0.227038663
Rab-like protein 3 OS=Homo sapiens OX=9606 GN=RABL3 PE=1 SV=1,0.250423333,0.041618923
Cullin-3 OS=Homo sapiens OX=9606 GN=CUL3 PE=1 SV=1,0.250243333,0.005290885
Mitofusin-2 OS=Homo sapiens OX=9606 GN=MFN2 PE=1 SV=3,0.249436667,0.011648021
Chymotrypsinogen B OS=Homo sapiens OX=9606 GN=CTRB1 PE=2 SV=2,0.249166667,0.288415071
ATP-binding cassette sub-family D member 1 OS=Homo sapiens OX=9606 GN=ABCD1 PE=1 SV=2,0.247916,5.09489E-06
Anoctamin-10 OS=Homo sapiens OX=9606 GN=ANO10 PE=1 SV=2,0.247766533,0.001049695
Vacuole membrane protein 1 OS=Homo sapiens OX=9606 GN=VMP1 PE=1 SV=1,0.247573333,0.04522524
14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2,0.247193333,0.113904215
OCIA domain-containing protein 1 OS=Homo sapiens OX=9606 GN=OCIAD1 PE=1 SV=1,0.24682,0.051314657
Plexin-B2 OS=Homo sapiens OX=9606 GN=PLXNB2 PE=1 SV=3,0.246464333,0.113810153
"Alpha-1,3/1,6-mannosyltransferase ALG2 OS=Homo sapiens OX=9606 GN=ALG2 PE=1 SV=1",0.246180033,0.011369064
Squalene monooxygenase OS=Homo sapiens OX=9606 GN=SQLE PE=1 SV=3,0.24588,0.005055812
Paraplegin OS=Homo sapiens OX=9606 GN=SPG7 PE=1 SV=1,0.244196667,0.022950466
Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1,0.24401,0.146846201
Small glutamine-rich tetratricopeptide repeat-containing protein beta OS=Homo sapiens OX=9606 GN=SGTB PE=1 SV=1,0.243243333,0.040203845
Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KPNA3 PE=1 SV=2,0.24225,0.241736635
Reticulocalbin-1 OS=Homo sapiens OX=9606 GN=RCN1 PE=1 SV=1,0.241906667,0.065607758
Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,0.241563333,0.039146603
Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3,0.241421333,0.137213847
"2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=3",0.23949,0.006482768
Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3,0.239030667,0.39781278
Protein S100-A7 OS=Homo sapiens OX=9606 GN=S100A7 PE=1 SV=4,0.238944667,0.457114224
Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS PE=1 SV=1,0.238291,0.018775297
Protein SGT1 homolog OS=Homo sapiens OX=9606 GN=SUGT1 PE=1 SV=3,0.238252,0.071519301
"HCG2039564, isoform CRA_a OS=Homo sapiens OX=9606 GN=SRP19 PE=1 SV=1",0.238213333,0.03903878
ER membrane protein complex subunit 7 OS=Homo sapiens OX=9606 GN=EMC7 PE=1 SV=1,0.238207667,0.001267094
Apoptosis regulator BAX OS=Homo sapiens OX=9606 GN=BAX PE=1 SV=1,0.238036333,0.045945679
X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2,0.237623333,0.279787995
Endothelin-converting enzyme-like 1 OS=Homo sapiens OX=9606 GN=ECEL1 PE=1 SV=3,0.237480067,0.062324968
Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1,0.237291667,0.1798408
Regulator of microtubule dynamics protein 2 OS=Homo sapiens OX=9606 GN=RMDN2 PE=1 SV=2,0.23728,0.006042398
Mitochondrial Rho GTPase 1 OS=Homo sapiens OX=9606 GN=RHOT1 PE=1 SV=2,0.23723,0.005653498
Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2,0.23706,0.04233857
Caveolae-associated protein 1 OS=Homo sapiens OX=9606 GN=CAVIN1 PE=1 SV=1,0.236685667,0.057312709
Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,0.236486,0.106923517
"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial OS=Homo sapiens OX=9606 GN=ISCU PE=1 SV=2",0.23485,0.007437348
Peripheral plasma membrane protein CASK OS=Homo sapiens OX=9606 GN=CASK PE=1 SV=3,0.234313333,0.031002045
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Homo sapiens OX=9606 GN=STT3B PE=1 SV=1,0.234045333,0.058296954
Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3,0.233963333,0.046946836
Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1,0.233890333,0.1353547
60S ribosomal protein L34 OS=Homo sapiens OX=9606 GN=RPL34 PE=1 SV=3,0.232983333,0.048529451
"Cysteine desulfurase, mitochondrial OS=Homo sapiens OX=9606 GN=NFS1 PE=1 SV=3",0.231993333,0.015876498
"Transmembrane protein 38B, isoform CRA_b OS=Homo sapiens OX=9606 GN=TMEM38B PE=1 SV=1",0.231893333,0.284045998
Pumilio homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=PUM1 PE=1 SV=1,0.231593333,0.021264947
Endoplasmic reticulum-Golgi intermediate compartment protein 1 OS=Homo sapiens OX=9606 GN=ERGIC1 PE=1 SV=1,0.230774667,0.050274411
Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2,0.230754667,0.065725484
Cytochrome c oxidase assembly factor 7 OS=Homo sapiens OX=9606 GN=COA7 PE=1 SV=2,0.230676667,0.057639669
Unconventional myosin-XIX OS=Homo sapiens OX=9606 GN=MYO19 PE=1 SV=2,0.23057,0.025778528
Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=1,0.229841333,0.020755609
Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2,0.22841,0.144436455
"Complex I intermediate-associated protein 30, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFAF1 PE=1 SV=2",0.22836,0.001303133
Ras-related protein Rab-35 (Fragment) OS=Homo sapiens OX=9606 GN=RAB35 PE=1 SV=1,0.226371,0.000899217
Dynactin subunit 3 OS=Homo sapiens OX=9606 GN=DCTN3 PE=1 SV=1,0.22613,0.333945739
Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2,0.225993333,0.050654537
Translocation protein SEC62 OS=Homo sapiens OX=9606 GN=SEC62 PE=1 SV=1,0.225797,0.002785376
60S ribosomal protein L36a OS=Homo sapiens OX=9606 GN=RPL36A PE=1 SV=1,0.225773333,0.007647837
Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=3,0.225418667,0.04118904
Ras-related protein Ral-A OS=Homo sapiens OX=9606 GN=RALA PE=1 SV=1,0.225248333,0.004306242
Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens OX=9606 GN=EIF2S2 PE=1 SV=2,0.22513,0.09638827
60S ribosomal protein L36 OS=Homo sapiens OX=9606 GN=RPL36 PE=1 SV=3,0.224791,0.008731948
Cyclin-dependent kinase 2 OS=Homo sapiens OX=9606 GN=CDK2 PE=1 SV=2,0.2236,0.056151573
Anaphase-promoting complex subunit 7 OS=Homo sapiens OX=9606 GN=ANAPC7 PE=1 SV=4,0.22347,0.067287016
Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2,0.223349333,0.005635083
Ras-related protein Rab-14 OS=Homo sapiens OX=9606 GN=RAB14 PE=1 SV=4,0.22323,0.000783614
ATP synthase mitochondrial F1 complex assembly factor 1 OS=Homo sapiens OX=9606 GN=ATPAF1 PE=1 SV=1,0.222866667,0.034815103
cAMP-dependent protein kinase catalytic subunit alpha OS=Homo sapiens OX=9606 GN=PRKACA PE=1 SV=2,0.22253898,0.004351271
G-rich sequence factor 1 OS=Homo sapiens OX=9606 GN=GRSF1 PE=1 SV=2,0.222143333,0.030751243
60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,0.221676667,0.010407216
Protein C3orf33 OS=Homo sapiens OX=9606 GN=C3orf33 PE=1 SV=2,0.221656737,0.022996288
COX assembly mitochondrial protein 2 homolog OS=Homo sapiens OX=9606 GN=CMC2 PE=1 SV=1,0.221546667,0.017323019
Signal peptidase complex catalytic subunit SEC11 OS=Homo sapiens OX=9606 GN=SEC11A PE=1 SV=1,0.221035667,0.016568441
DnaJ homolog subfamily B member 4 OS=Homo sapiens OX=9606 GN=DNAJB4 PE=1 SV=1,0.220286667,0.156336326
Prolyl endopeptidase-like OS=Homo sapiens OX=9606 GN=PREPL PE=1 SV=1,0.220172333,0.079033747
"Glycine amidinotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=GATM PE=1 SV=1",0.219776667,0.049042748
Lysophosphatidylcholine acyltransferase 1 OS=Homo sapiens OX=9606 GN=LPCAT1 PE=1 SV=2,0.219386667,0.01284236
AP-1 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP1B1 PE=1 SV=2,0.218647667,0.24978242
"HLA class I histocompatibility antigen, B-15 alpha chain OS=Homo sapiens OX=9606 GN=HLA-B PE=1 SV=2",0.218573333,0.048630993
Phosphoinositide phospholipase C OS=Homo sapiens OX=9606 GN=PLCH1 PE=1 SV=1,0.218290667,0.152716548
UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens OX=9606 GN=UGGT1 PE=1 SV=3,0.217943333,0.178824751
ER membrane protein complex subunit 3 OS=Homo sapiens OX=9606 GN=EMC3 PE=1 SV=3,0.217693667,0.167524908
Replication protein A 14 kDa subunit OS=Homo sapiens OX=9606 GN=RPA3 PE=1 SV=1,0.21749,0.29621457
CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens OX=9606 GN=CDIPT PE=1 SV=1,0.217013333,0.127622261
Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP2K2 PE=1 SV=1,0.21686,0.294878997
Electron transfer flavoprotein subunit beta OS=Homo sapiens OX=9606 GN=ETFB PE=1 SV=3,0.216386667,0.09216688
Serine palmitoyltransferase 2 OS=Homo sapiens OX=9606 GN=SPTLC2 PE=1 SV=1,0.216246667,0.007083508
Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1,0.215296667,0.007024393
Signal recognition particle receptor subunit beta OS=Homo sapiens OX=9606 GN=SRPRB PE=1 SV=3,0.214986667,0.169890127
MMS19 nucleotide excision repair protein homolog OS=Homo sapiens OX=9606 GN=MMS19 PE=1 SV=2,0.21497,0.116449175
"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3",0.21495,0.021928431
Putative phospholipase B-like 2 OS=Homo sapiens OX=9606 GN=PLBD2 PE=1 SV=2,0.21402,0.053812262
Signal transducer and activator of transcription 3 OS=Homo sapiens OX=9606 GN=STAT3 PE=1 SV=2,0.2137532,0.092506403
B-cell receptor-associated protein 29 (Fragment) OS=Homo sapiens OX=9606 GN=BCAP29 PE=1 SV=1,0.21371,0.373078696
Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2,0.212592333,0.001487698
Minor histocompatibility antigen H13 OS=Homo sapiens OX=9606 GN=HM13 PE=1 SV=1,0.212295667,0.007265176
cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR2A PE=1 SV=2,0.211924333,0.008420555
Contactin-associated protein 1 OS=Homo sapiens OX=9606 GN=CNTNAP1 PE=1 SV=1,0.211686667,0.044867209
"Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=RARS PE=1 SV=2",0.211206667,0.018144661
Ras-related protein Rab-5A OS=Homo sapiens OX=9606 GN=RAB5A PE=1 SV=2,0.210649,0.026368161
Sodium-coupled neutral amino acid transporter 1 OS=Homo sapiens OX=9606 GN=SLC38A1 PE=1 SV=1,0.209706667,0.060991246
Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1,0.20747,0.657897667
Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=4 SV=1,0.207343333,0.085481997
Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1,0.207066667,0.134414211
Nuclear pore complex protein Nup133 OS=Homo sapiens OX=9606 GN=NUP133 PE=1 SV=2,0.206276667,0.017233911
Multidrug resistance-associated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=ABCC1 PE=1 SV=1,0.205911333,0.025349252
Kinesin-like protein OS=Homo sapiens OX=9606 GN=KIFC3 PE=1 SV=1,0.205818,0.028677646
Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9606 GN=AIMP1 PE=1 SV=2,0.205537667,0.002883145
DnaJ homolog subfamily B member 12 OS=Homo sapiens OX=9606 GN=DNAJB12 PE=1 SV=5,0.205267333,0.019362566
Coatomer subunit gamma-2 OS=Homo sapiens OX=9606 GN=COPG2 PE=1 SV=1,0.20498,0.296610053
5'-AMP-activated protein kinase subunit beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=PRKAB1 PE=1 SV=1,0.203353333,0.130325913
Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens OX=9606 GN=EIF3K PE=1 SV=1,0.202091667,0.329715844
Long-chain fatty acid transport protein 4 OS=Homo sapiens OX=9606 GN=SLC27A4 PE=1 SV=1,0.201753333,0.445260591
60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1,0.20153,0.011874894
ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3,0.201386667,0.003359991
Nuclear pore glycoprotein p62 OS=Homo sapiens OX=9606 GN=NUP62 PE=1 SV=3,0.201043333,0.024877558
Glucosylceramidase OS=Homo sapiens OX=9606 GN=GBA PE=1 SV=1,0.200812,0.007819024
Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4,0.200796667,0.119978218
Serine/threonine-protein kinase VRK1 OS=Homo sapiens OX=9606 GN=VRK1 PE=1 SV=1,0.200556667,0.246350147
60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2,0.200473333,0.019129847
FACT complex subunit SPT16 OS=Homo sapiens OX=9606 GN=SUPT16H PE=1 SV=1,0.20041,0.117426496
"Peroxisome biogenesis factor 1, isoform CRA_c OS=Homo sapiens OX=9606 GN=PEX1 PE=1 SV=1",0.200163,0.010900715
Chitinase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CHID1 PE=1 SV=1,0.1998985,0.048441223
Ribosomal protein S6 kinase alpha-1 OS=Homo sapiens OX=9606 GN=RPS6KA1 PE=1 SV=2,0.199613333,0.018784257
Transcriptional activator protein Pur-alpha OS=Homo sapiens OX=9606 GN=PURA PE=1 SV=2,0.198673333,0.09649721
Importin-4 OS=Homo sapiens OX=9606 GN=IPO4 PE=1 SV=2,0.198615333,0.27000226
Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1,0.197986667,0.307265243
GTP-binding protein SAR1a OS=Homo sapiens OX=9606 GN=SAR1A PE=1 SV=1,0.197856,0.296071112
Translocon-associated protein subunit alpha OS=Homo sapiens OX=9606 GN=SSR1 PE=1 SV=1,0.197506667,0.072671062
60S ribosomal protein L37a OS=Homo sapiens OX=9606 GN=RPL37A PE=1 SV=2,0.1973131,0.011359054
"Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens OX=9606 GN=OPA1 PE=1 SV=3",0.197266667,0.013034568
60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,0.196856667,0.010517239
Erlin-2 OS=Homo sapiens OX=9606 GN=ERLIN2 PE=1 SV=1,0.196693333,0.001311744
60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=1,0.196486667,0.033687044
Squalene synthase OS=Homo sapiens OX=9606 GN=FDFT1 PE=1 SV=1,0.196176667,0.033614445
Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=1,0.196156667,0.009171381
Erlin-1 OS=Homo sapiens OX=9606 GN=ERLIN1 PE=1 SV=1,0.196056667,0.022711771
Four and a half LIM domains protein 2 OS=Homo sapiens OX=9606 GN=FHL2 PE=1 SV=3,0.19498,0.166558116
Renin receptor (Fragment) OS=Homo sapiens OX=9606 GN=ATP6AP2 PE=1 SV=1,0.194679667,0.101478515
"Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2",0.193956667,0.043404122
"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Homo sapiens OX=9606 GN=PCK2 PE=1 SV=4",0.19394,0.101466818
60S ribosomal protein L8 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2,0.193643333,0.047735508
"RNA transcription, translation and transport factor protein OS=Homo sapiens OX=9606 GN=RTRAF PE=1 SV=1",0.193336667,0.054132438
Ras-related protein Rab-10 OS=Homo sapiens OX=9606 GN=RAB10 PE=1 SV=1,0.193134,0.039434966
"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2 PE=1 SV=2",0.19304,0.342629071
"HLA class I histocompatibility antigen, A-24 alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=2",0.192772333,0.261981703
Vesicle-associated membrane protein-associated protein A OS=Homo sapiens OX=9606 GN=VAPA PE=1 SV=3,0.192686667,0.01846888
Uncharacterized aarF domain-containing protein kinase 5 OS=Homo sapiens OX=9606 GN=ADCK5 PE=1 SV=3,0.192510667,0.097515381
Multiple epidermal growth factor-like domains protein 9 OS=Homo sapiens OX=9606 GN=MEGF9 PE=2 SV=3,0.191493333,0.063806171
60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=1,0.191213333,0.023322236
Ras-related protein Rab-13 OS=Homo sapiens OX=9606 GN=RAB13 PE=1 SV=1,0.1901697,0.023935589
Protein jagunal homolog 1 OS=Homo sapiens OX=9606 GN=JAGN1 PE=1 SV=1,0.1899,0.114974755
CLIP-associating protein 1 OS=Homo sapiens OX=9606 GN=CLASP1 PE=1 SV=1,0.189786667,0.248549624
Protein RFT1 homolog OS=Homo sapiens OX=9606 GN=RFT1 PE=1 SV=1,0.189507667,0.0432106
Nucleoporin NDC1 OS=Homo sapiens OX=9606 GN=NDC1 PE=1 SV=2,0.188489,0.01798847
Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,0.188163333,0.00570052
"Cysteine conjugate-beta lyase cytoplasmic (Glutamine transaminase K, kyneurenine aminotransferase), isoform CRA_b OS=Homo sapiens OX=9606 GN=KYAT1 PE=1 SV=1",0.188153333,0.102675738
60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2,0.18813,0.033349474
Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2,0.187993333,0.113019308
Exportin-7 OS=Homo sapiens OX=9606 GN=XPO7 PE=1 SV=1,0.187878,0.357341469
Protein disulfide-isomerase A5 OS=Homo sapiens OX=9606 GN=PDIA5 PE=1 SV=1,0.18774,0.233723052
Glutathione peroxidase OS=Homo sapiens OX=9606 GN=GPX8 PE=1 SV=1,0.187493333,0.031920157
Peroxisomal membrane protein PEX14 OS=Homo sapiens OX=9606 GN=PEX14 PE=1 SV=1,0.187324,0.005015137
"GrpE protein homolog 2, mitochondrial OS=Homo sapiens OX=9606 GN=GRPEL2 PE=1 SV=1",0.186880267,0.01518066
FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1,0.186755667,0.22290784
CCR4-NOT transcription complex subunit 3 (Fragment) OS=Homo sapiens OX=9606 GN=CNOT3 PE=1 SV=1,0.186586667,0.033826378
Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2,0.186569333,0.097947244
Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2 OS=Homo sapiens OX=9606 GN=HACD2 PE=1 SV=1,0.186125,0.108131746
Sterol O-acyltransferase 1 OS=Homo sapiens OX=9606 GN=SOAT1 PE=1 SV=3,0.185827,0.011406984
Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2,0.185297867,0.018587388
Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=2,0.184683333,0.249309444
Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2 PE=1 SV=1,0.183887,0.058943578
